Wavelength [nm]	Wavenumbers [1/cm]	Copper Ambient - averaged	Copper 1 7 days - averaged	Copper 2 7 days - averaged	Copper 1 14 days - averaged	Copper 2 14 days - averaged	Copper 1 17 days - averaged	Copper 2 17 days - averaged	Copper 1 21 days - averaged	Copper 2 21 days - averaged	Copper 1 26 days - averaged	Copper 2 26 days - averaged	Copper 1 28 days - averaged	Copper 2 28 days - averaged	Copper 1 38 days - averaged	Copper 2 38 days - averaged	Copper 1 40 days - averaged	Copper 2 40 days - averaged	Copper 1 42 days - averaged	Copper 2 42 days - averaged
899.63	11115.68	0.189	0.1846	0.1836	0.1852	0.1847	0.1937	0.1877	0.2031	0.2021	0.1784	0.183	0.1844	0.1872	0.1719	0.1749	0.172	0.1736	0.177	0.1811
900.594	11103.78	0.1856	0.1807	0.1796	0.1818	0.1813	0.1907	0.185	0.1995	0.1984	0.1753	0.1796	0.1808	0.1834	0.1696	0.1721	0.1696	0.1715	0.174	0.1783
901.558	11091.9	0.1828	0.1777	0.1764	0.179	0.1788	0.188	0.1827	0.1965	0.1951	0.1729	0.1766	0.178	0.1804	0.1682	0.1699	0.1686	0.17	0.1715	0.1757
902.523	11080.05	0.1807	0.1755	0.174	0.177	0.1772	0.1856	0.1806	0.1944	0.1924	0.1712	0.1742	0.176	0.1782	0.1674	0.1685	0.1683	0.1689	0.1695	0.1735
903.487	11068.23	0.1793	0.1741	0.1725	0.1758	0.1763	0.1837	0.179	0.193	0.1906	0.1701	0.1727	0.1746	0.1769	0.167	0.1676	0.1682	0.168	0.168	0.1719
904.451	11056.43	0.1785	0.1732	0.1716	0.1754	0.1758	0.1826	0.178	0.1921	0.1897	0.1694	0.1719	0.1738	0.1761	0.1665	0.167	0.168	0.1673	0.167	0.1709
905.415	11044.65	0.1783	0.1727	0.1713	0.1755	0.1756	0.1821	0.1776	0.1915	0.1894	0.1691	0.1719	0.1734	0.1758	0.1657	0.1668	0.1677	0.1668	0.1664	0.1703
906.38	11032.9	0.1786	0.1726	0.1715	0.1759	0.1756	0.1823	0.1777	0.1913	0.1895	0.1692	0.1724	0.1735	0.1758	0.1647	0.167	0.1677	0.1667	0.1664	0.1703
907.344	11021.18	0.1792	0.1729	0.1722	0.1765	0.176	0.1828	0.1782	0.1912	0.1898	0.1697	0.1731	0.174	0.1762	0.164	0.1677	0.168	0.1671	0.1669	0.1707
908.308	11009.48	0.1802	0.1737	0.1733	0.1771	0.1769	0.1834	0.1791	0.1914	0.1901	0.1705	0.174	0.1751	0.1771	0.1639	0.1689	0.1687	0.168	0.1679	0.1717
909.272	10997.81	0.1815	0.175	0.1748	0.1778	0.1782	0.184	0.1802	0.1919	0.1905	0.1718	0.175	0.1764	0.1785	0.1649	0.1704	0.1699	0.1695	0.1695	0.1732
910.237	10986.15	0.183	0.1767	0.1766	0.1789	0.1801	0.1847	0.1816	0.1927	0.1913	0.1734	0.1762	0.178	0.1803	0.167	0.1721	0.1714	0.1713	0.1716	0.1752
