Wavelength [nm]	Wavenumbers [1/cm]	Mineral Oil Ambient - averaged	Mineral Oil 1 7 days - averaged	Mineral Oil  2 7 days - averaged	Mineral Oil 1 14 days - averaged	Mineral Oil  2 14 days - averaged	Mineral Oil 1 17 days - averaged	Mineral Oil  2 17 days - averaged	Mineral Oil 1 21 days - averaged	Mineral Oil  2 21 days - averaged	Min oil 1 26 days - averaged	Min oil 2 26 days- averaged	Min oil 1 28 days - averaged	Min oil 2 28 days - averaged	Min oil 1 38 days - averaged	Min oil 2 38 days - averaged	Min oil 1 40 days - averaged	Min oil 2 40 days - averaged	Min oil 1 42 days - averaged	Min oil 2 42 days - averaged
899.630	11115.68	0.1667	0.1808	0.1807	0.1769	0.1802	0.1836	0.1814	0.1795	0.1908	0.1747	0.1782	0.1727	0.177	0.1607	0.169	0.1574	0.1652	0.173	0.1759
900.594	11103.78	0.164	0.1771	0.177	0.1737	0.1762	0.1819	0.1774	0.1759	0.1878	0.1719	0.1754	0.1701	0.1736	0.1579	0.1655	0.1567	0.1632	0.1709	0.1735
901.558	11091.90	0.162	0.1741	0.174	0.1711	0.1734	0.1803	0.1739	0.1735	0.185	0.1694	0.1726	0.1688	0.1707	0.1563	0.1628	0.157	0.1622	0.1695	0.1715
902.523	11080.05	0.1607	0.1719	0.1718	0.1693	0.1718	0.1786	0.1714	0.1724	0.1829	0.1674	0.17	0.1684	0.1684	0.1559	0.1612	0.1576	0.1617	0.1684	0.1699
903.487	11068.23	0.1598	0.1704	0.1704	0.168	0.1711	0.1767	0.1699	0.1724	0.1815	0.1659	0.1679	0.1683	0.1667	0.1561	0.1606	0.1578	0.1614	0.1674	0.1687
904.451	11056.43	0.1591	0.1695	0.1697	0.1671	0.1708	0.1745	0.1694	0.1731	0.1809	0.1652	0.1666	0.1678	0.1659	0.1566	0.1606	0.1575	0.1612	0.1663	0.1677
905.415	11044.65	0.1586	0.169	0.1694	0.1665	0.1705	0.1723	0.1698	0.1738	0.181	0.1652	0.1662	0.1672	0.1658	0.1571	0.161	0.1567	0.1609	0.1653	0.1668
906.380	11032.90	0.1584	0.1688	0.1696	0.1662	0.1702	0.1704	0.1707	0.1743	0.1813	0.1657	0.1668	0.1666	0.1665	0.1575	0.1614	0.156	0.1608	0.1647	0.1664
907.344	11021.18	0.1587	0.1689	0.1701	0.1662	0.1699	0.1692	0.172	0.1745	0.1817	0.1667	0.168	0.1665	0.1676	0.158	0.1619	0.156	0.1611	0.1646	0.1665
908.308	11009.48	0.1595	0.1694	0.1709	0.1666	0.17	0.1692	0.1735	0.1745	0.1821	0.1678	0.1696	0.1673	0.1691	0.1588	0.1626	0.1567	0.162	0.1652	0.1673
909.272	10997.81	0.1608	0.1704	0.1719	0.1676	0.1708	0.1707	0.175	0.1748	0.1824	0.169	0.1711	0.1689	0.1708	0.1602	0.1634	0.1582	0.1635	0.1665	0.1688
910.237	10986.15	0.1626	0.1719	0.1731	0.1692	0.1724	0.1737	0.1766	0.1758	0.183	0.1702	0.1726	0.1712	0.1725	0.1622	0.1647	0.1603	0.1657	0.1683	0.1708
911.201	10974.53	0.1647	0.174	0.1748	0.1714	0.1748	0.1778	0.1784	0.1778	0.1844	0.1717	0.174	0.1738	0.1744	0.1647	0.1667	0.1628	0.1686	0.1706	0.1733
912.165	10962.93	0.1673	0.1767	0.177	0.1744	0.1779	0.1827	0.1806	0.1809	0.1868	0.1737	0.1757	0.1765	0.1766	0.1678	0.1695	0.1658	0.1719	0.1735	0.1762
913.129	10951.35	0.1704	0.18	0.18	0.1779	0.1815	0.1879	0.1835	0.1849	0.1902	0.1765	0.1781	0.1794	0.1793	0.1712	0.173	0.1693	0.1756	0.1771	0.1796
914.094	10939.80	0.174	0.1838	0.1838	0.1819	0.1854	0.1928	0.1871	0.1894	0.1944	0.1802	0.1813	0.1826	0.1826	0.175	0.1771	0.1732	0.1797	0.1811	0.1833
915.058	10928.27	0.1781	0.1878	0.1881	0.1861	0.1894	0.197	0.1911	0.194	0.1989	0.1845	0.1853	0.1861	0.1865	0.1788	0.1813	0.1772	0.1837	0.1855	0.1873
916.022	10916.77	0.1821	0.1917	0.1923	0.1901	0.1932	0.2002	0.1951	0.1981	0.2029	0.1887	0.1896	0.1897	0.1904	0.1824	0.1851	0.1808	0.1874	0.1895	0.191
