Wavelength [nm]	Wavenumbers [1/cm]	Kraft paper ambient - averaged	Kraft paper 7 days - averaged	Kraft paper 2 7 days - averaged	Kraft paper 1 14 days - averaged	Kraft paper 2 14 days - averaged	Kraft Paper 1 21 days - averaged	Kraft Paper 2 21 days - averaged	Kraft paper 1 26 days - averaged	Kraft paper 2 26 days - averaged	Kraft paper 1 28 days - averaged	Kraft Paper 2 28 days - averaged	Kraft paper 1 33 days - averaged	Kraft paper 2 33 days - averaged	Kraft paper 1 35 days - averaged	Kraft paper 2 35 days - averaged	Kraft paper 1 42 days - averaged	Kraft paper 2 42 days - averaged	Kraft paper 1 49 days - averaged	Kraft paper 2 49 days - averaged	Kraft paper 56 days - averaged	Kraft paper 2 56 days - averaged	Kraft paper 1 63 days - averaged	Kraft paper 2 63 days - averaged	Kraft paper 70 days - averaged	Kraft paper 2 70 days - averaged	Kraft paper 1 77 days - averaged	Kraft paper 2 77 days - averaged	Kraft paper 83 days - averaged	Kraft paper 2 83 days - averaged
899.630	11115.68	0.179	0.1697	0.1729	0.1747	0.1819	0.1857	0.18	0.1844	0.187	0.1857	0.1805	0.1773	0.1826	0.1566	0.1749	0.1773	0.1867	0.1654	0.1739	0.1792	0.1757	0.1853	0.1865	0.1854	0.188	0.1933	0.1899	0.1852	0.1867
900.594	11103.78	0.1749	0.1672	0.17	0.1724	0.1797	0.1827	0.1767	0.1815	0.1846	0.1824	0.1757	0.1746	0.18	0.1537	0.1713	0.1736	0.1829	0.1644	0.1715	0.1749	0.173	0.1824	0.1838	0.1826	0.1861	0.1907	0.1874	0.1814	0.1841
901.558	11091.90	0.1718	0.1657	0.1682	0.1703	0.1776	0.1805	0.1739	0.1793	0.1827	0.1796	0.1715	0.1721	0.1777	0.1512	0.1675	0.1707	0.1794	0.1642	0.1698	0.1715	0.1706	0.1799	0.1806	0.1803	0.1841	0.189	0.186	0.1792	0.1829
902.523	11080.05	0.1697	0.1648	0.1672	0.1687	0.1756	0.1788	0.1718	0.1777	0.1813	0.1773	0.1683	0.1698	0.1758	0.1493	0.1643	0.1687	0.1764	0.1642	0.1689	0.1697	0.169	0.1779	0.1773	0.1786	0.1821	0.1882	0.1856	0.1789	0.1827
903.487	11068.23	0.1684	0.1642	0.1669	0.1676	0.1739	0.1777	0.1703	0.1766	0.1803	0.1755	0.1665	0.1681	0.1742	0.1482	0.1619	0.1678	0.1741	0.164	0.1687	0.1693	0.1682	0.1764	0.1744	0.1773	0.1801	0.1878	0.1859	0.18	0.1832
904.451	11056.43	0.1677	0.1638	0.1669	0.1671	0.1729	0.177	0.1694	0.1759	0.1795	0.1744	0.166	0.167	0.173	0.148	0.1607	0.1679	0.1727	0.1637	0.1688	0.1698	0.1681	0.1753	0.1724	0.1764	0.1785	0.1875	0.1865	0.1819	0.184
905.415	11044.65	0.1677	0.1636	0.1669	0.1671	0.1726	0.1766	0.1693	0.1754	0.1789	0.1742	0.1664	0.1664	0.1721	0.1485	0.1608	0.1686	0.1724	0.1634	0.1692	0.1708	0.1684	0.1744	0.1714	0.176	0.1775	0.1872	0.1873	0.1834	0.1847
906.380	11032.90	0.1682	0.1636	0.1668	0.1673	0.173	0.1765	0.1697	0.1751	0.1782	0.1749	0.1677	0.1663	0.1717	0.1495	0.1616	0.1696	0.173	0.1632	0.1695	0.1719	0.169	0.1738	0.1715	0.1761	0.1773	0.1868	0.188	0.1841	0.1851
907.344	11021.18	0.1691	0.164	0.1666	0.1677	0.1739	0.1766	0.1705	0.1753	0.1778	0.1763	0.1694	0.1664	0.1719	0.1505	0.163	0.1707	0.1744	0.1632	0.1699	0.1732	0.1699	0.1735	0.1722	0.1768	0.1779	0.1865	0.1884	0.1839	0.1852
908.308	11009.48	0.1704	0.1649	0.1666	0.1681	0.1751	0.1768	0.1717	0.1758	0.1777	0.1781	0.1713	0.1667	0.1728	0.1515	0.1646	0.1717	0.1761	0.1636	0.1705	0.1748	0.1713	0.1736	0.1734	0.178	0.1791	0.1865	0.1885	0.1833	0.1853
