Wavelength [nm]	Wavenumbers [1/cm]	Kraft paper and copper ambient - averaged	Kraft paper and copper 1  7 days  - averaged	Kraft paper and copper 2  7 days - averaged	Kraft paper and Copper 1 14 days - averaged	Kraft Paper and copper 2 15 days - averaged	Kraft paper and copper 1  19 days - averaged	Kraft paper and Copper 2 18 days - averaged	Kraft paper and Copper 1 21 days - averaged	Kraft paper and Copper 2 21 days - averaged	Kraft paper and Copper 1 28 days - averaged	Kraft paper and Copper 2 28 days - averaged	Kraft paper and Copper 1 35 days - averaged	Kraft paper and Copper 2 35 days - averaged	Kraft paper and copper 1  42 days  - averaged	Kraft paper and Copper 2 42 days - averaged	Kraft paper and Copper 1 49 days - averaged	Kraft paper and Copper 2 50 days - averaged	Kraft paper and Copper 1 56 days - averaged	Kraft paper and Copper 2 56 days - averaged	Kraft paper and Copper 1 63 days - averaged	Kraft paper and Copper 2 63 days - averaged	Kraft paper and copper 1  70 days - averaged	Kraft paper and copper 2  67 days - averaged	Kraft paper and copper 1  77 days - averaged	Kraft paper and copper 2  74 days - averaged	Kraft paper and copper 1  83 days - averaged	Kraft paper and copper 2  80 days  - averaged
899.630	11115.68	0.1723	0.1777	0.1816	0.1835	0.1806	0.1635	0.1716	0.1688	0.1711	0.1904	0.1677	0.1729	0.1752	0.1873	0.1752	0.1765	0.1748	0.1881	0.1819	0.1892	0.176	0.1857	0.1966	0.2019	0.1955	0.1864	0.1928
900.594	11103.78	0.1718	0.1744	0.1793	0.1809	0.1777	0.1601	0.1689	0.1671	0.168	0.1864	0.1662	0.1698	0.1725	0.1834	0.1711	0.1747	0.1719	0.184	0.178	0.1879	0.1733	0.1837	0.1947	0.1994	0.193	0.1837	0.1911
901.558	11091.90	0.1727	0.1719	0.1769	0.1791	0.1748	0.1577	0.1668	0.1656	0.168	0.1838	0.1657	0.1674	0.1703	0.1802	0.1678	0.1731	0.1693	0.1807	0.1752	0.1864	0.1708	0.1822	0.193	0.1973	0.1909	0.1823	0.1906
902.523	11080.05	0.1736	0.1703	0.1747	0.1777	0.172	0.1564	0.1653	0.1642	0.1701	0.1827	0.1657	0.1659	0.1683	0.1776	0.1654	0.1718	0.1674	0.1788	0.1737	0.1847	0.1687	0.1809	0.1915	0.1956	0.1894	0.1819	0.191
903.487	11068.23	0.1738	0.1695	0.1727	0.1766	0.1696	0.1561	0.1642	0.1631	0.1728	0.1826	0.1659	0.1652	0.1665	0.176	0.1642	0.1706	0.1664	0.1784	0.1732	0.1828	0.1674	0.1799	0.19	0.194	0.1885	0.1822	0.1917
904.451	11056.43	0.1725	0.1695	0.1713	0.1758	0.168	0.1566	0.1638	0.1624	0.175	0.1831	0.1661	0.1651	0.1651	0.1755	0.1642	0.1697	0.1663	0.1791	0.1733	0.181	0.1669	0.1792	0.1883	0.1927	0.1879	0.1829	0.1922
905.415	11044.65	0.17	0.1699	0.1706	0.1752	0.1674	0.1575	0.1638	0.162	0.1763	0.1838	0.1662	0.1652	0.1642	0.1759	0.165	0.1692	0.1666	0.18	0.1737	0.1795	0.167	0.1786	0.1868	0.1917	0.1876	0.184	0.1925
906.380	11032.90	0.1673	0.1704	0.1707	0.1749	0.1677	0.1586	0.1643	0.162	0.177	0.1843	0.1663	0.1656	0.1641	0.1771	0.1664	0.1689	0.1672	0.1808	0.174	0.1783	0.1676	0.1783	0.1857	0.1913	0.1873	0.1853	0.1925
907.344	11021.18	0.1652	0.1711	0.1716	0.1749	0.1689	0.1597	0.1649	0.1621	0.1776	0.1849	0.1664	0.166	0.1648	0.1787	0.1677	0.1689	0.1678	0.1813	0.1741	0.1774	0.1686	0.1783	0.1854	0.1916	0.187	0.1865	0.1923
908.308	11009.48	0.1647	0.1716	0.1731	0.1753	0.1704	0.1608	0.1658	0.1624	0.1784	0.1855	0.1668	0.1667	0.1663	0.1803	0.1687	0.1691	0.1687	0.1819	0.1741	0.177	0.1697	0.1788	0.1861	0.1925	0.1869	0.1875	0.1923
